ZM,ZMB
ZA,ZAF
YT,MYT
YE,YEM
WS,WSM
WF,WLF
VU,VUT
VN,VNM
VI,VIR
VG,VGB
VE,VEN
VC,VCT
VA,VAT
UZ,UZB
UY,URY
US,USA
UM,UMI
UG,UGA
UA,UKR
TZ,TZA
TW,TWN
TV,TUV
TT,TTO
TR,TUR
TO,TON
TN,TUN
TM,TKM
TL,TLS
TK,TKL
TJ,TJK
TH,THA
TG,TGO
TF,ATF
TD,TCD
TC,TCA
SZ,SWZ
SY,SYR
SV,SLV
ST,STP
SS,SSD
SR,SUR
SO,SOM
SN,SEN
SM,SMR
SL,SLE
SK,SVK
SJ,SJM
SI,SVN
SH,SHN
SG,SGP
SE,SWE
SD,SDN
SC,SYC
SB,SLB
SA,SAU
RW,RWA
RU,RUS
RS,SRB
RO,ROU
RE,REU
QA,QAT
PY,PRY
PW,PLW
PT,PRT
PS,PSE
PR,PRI
PN,PCN
PM,SPM
PL,POL
PK,PAK
PH,PHL
PG,PNG
PF,PYF
PE,PER
PA,PAN
OM,OMN
NZ,NZL
NU,NIU
NR,NRU
NP,NPL
NO,NOR
NL,NLD
NI,NIC
NG,NGA
NF,NFK
NE,NER
NC,NCL
NA,NAM
MZ,MOZ
MY,MYS
MX,MEX
MW,MWI
MV,MDV
MU,MUS
MT,MLT
MS,MSR
MR,MRT
MQ,MTQ
MP,MNP
MO,MAC
MN,MNG
MM,MMR
ML,MLI
MK,MKD
MH,MHL
MG,MDG
MF,MAF
ME,MNE
MD,MDA
MC,MCO
MA,MAR
LY,LBY
LV,LVA
LU,LUX
LT,LTU
LS,LSO
LR,LBR
LK,LKA
LI,LIE
LC,LCA
LB,LBN
LA,LAO
KZ,KAZ
KY,CYM
KW,KWT
KR,KOR
KP,PRK
KN,KNA
KM,COM
KI,KIR
KH,KHM
KG,KGZ
KE,KEN
JP,JPN
JO,JOR
JM,JAM
JE,JEY
IT,ITA
IS,ISL
IR,IRN
IQ,IRQ
IO,IOT
IN,IND
IM,IMN
IL,ISR
IE,IRL
ID,IDN
HU,HUN
HT,HTI
HR,HRV
HN,HND
HM,HMD
HK,HKG
GY,GUY
GW,GNB
GU,GUM
GT,GTM
GS,SGS
GR,GRC
GQ,GNQ
GP,GLP
GN,GIN
GM,GMB
GL,GRL
GI,GIB
GH,GHA
GG,GGY
GF,GUF
GE,GEO
GD,GRD
GB,GBR
GA,GAB
FR,FRA
FO,FRO
FM,FSM
FK,FLK
FJ,FJI
FI,FIN
ET,ETH
ES,ESP
ER,ERI
EH,ESH
EG,EGY
EE,EST
EC,ECU
DZ,DZA
DO,DOM
DM,DMA
DK,DNK
DJ,DJI
DE,DEU
CZ,CZE
CY,CYP
CX,CXR
CV,CPV
CU,CUB
CR,CRI
CO,COL
CN,CHN
CM,CMR
CL,CHL
CK,COK
CI,CIV
CH,CHE
CG,COG
CF,CAF
CD,COD
CC,CCK
CA,CAN
BZ,BLZ
BY,BLR
BW,BWA
BV,BVT
BT,BTN
BS,BHS
BR,BRA
BO,BOL
BN,BRN
BM,BMU
BL,BLM
BJ,BEN
BI,BDI
BH,BHR
BG,BGR
BF,BFA
BE,BEL
BD,BGD
BB,BRB
BA,BIH
AZ,AZE
AX,ALA
AW,ABW
AU,AUS
AT,AUT
AS,ASM
AR,ARG
AQ,ATA
AO,AGO
AN,ANT
AM,ARM
AL,ALB
AI,AIA
AG,ATG
AF,AFG
AE,ARE
AD,AND
