ICRPProjectID|ICRPProjectFundingID|AwardCode|AltAwardCode|SponsorCode|FundingOrg|IsChildhoodCancer
36641|98199|DSCN-04-159-01|DSCN-04-159-01|ACS|American Cancer Society|y
36646|98204|DSCN-04-227-01|DSCN-04-227-01|ACS|American Cancer Society|y
36648|98206|DSCN-06-217-01|DSCN-06-217-01|ACS|American Cancer Society|y
36653|98211|DSCN-09-142-01|DSCN-09-142-01|ACS|American Cancer Society|y
36655|98213|DSCN-10-088-01|DSCN-10-088-01|ACS|American Cancer Society|y
36661|98219|DSCN-14-079-01|DSCN-14-079-01|ACS|American Cancer Society|y
36678|98236|DSWR-14-086-03|DSWR-14-086-03|ACS|American Cancer Society|y
38009|100250|CRP-02-167-01|CRP-02-167-01|ACS|American Cancer Society|y
38013|100254|CRP-09-171-01|CRP-09-171-01|ACS|American Cancer Society|y
38014|100255|CRP-14-106-01|CRP-14-106-01|ACS|American Cancer Society|y
38018|100259|CRTG-02-043-01|CRTG-02-043-01|ACS|American Cancer Society|y
38594|100837|MRSG-05-213-01|MRSG-05-213-01|ACS|American Cancer Society|y
38599|100842|MRSG-07-166-01|MRSG-07-166-01|ACS|American Cancer Society|y
38601|100844|MRSG-08-010-01|MRSG-08-010-01|ACS|American Cancer Society|y
38603|100846|MRSG-08-108-01|MRSG-08-108-01|ACS|American Cancer Society|y
38618|100861|MRSG-12-215-01|MRSG-12-215-01|ACS|American Cancer Society|y
38626|100869|MRSG-15-177-01|MRSG-15-177-01|ACS|American Cancer Society|y
38633|100876|MSCN-02-249-01|MSCN-02-249-01|ACS|American Cancer Society|y
38634|100877|MSCN-03-210-01|MSCN-03-210-01|ACS|American Cancer Society|y
38637|100880|MSCN-05-192-01|MSCN-05-192-01|ACS|American Cancer Society|y
38638|100881|MSCN-06-228-01|MSCN-06-228-01|ACS|American Cancer Society|y
38639|100882|MSCN-06-232-01|MSCN-06-232-01|ACS|American Cancer Society|y
38649|100892|MSW-05-178-02|MSW-05-178-02|ACS|American Cancer Society|y
38650|100893|MSW-06-226-01|MSW-06-226-01|ACS|American Cancer Society|y
38651|100894|MSW-06-226-02|MSW-06-226-02|ACS|American Cancer Society|y
38652|100895|MSW-06-226-03|MSW-06-226-03|ACS|American Cancer Society|y
38654|100897|MSW-08-214-01|MSW-08-214-01|ACS|American Cancer Society|y
38656|100899|MSW-09-222-04|MSW-09-222-04|ACS|American Cancer Society|y
38658|100901|MSW-10-101-02|MSW-10-101-02|ACS|American Cancer Society|y
38659|100902|MSW-10-101-03|MSW-10-101-03|ACS|American Cancer Society|y
38664|100907|MSW-96-161-10|MSW-96-161-10|ACS|American Cancer Society|y
38672|100915|MSW-98-308-06|MSW-98-308-06|ACS|American Cancer Society|y
38673|100916|MSW-98-308-08|MSW-98-308-08|ACS|American Cancer Society|y
38674|100917|MSW-98-308-13|MSW-98-308-13|ACS|American Cancer Society|y
38675|100918|MSW-98-310-04|MSW-98-310-04|ACS|American Cancer Society|y
38676|100919|MSW-98-310-05|MSW-98-310-05|ACS|American Cancer Society|y
40048|103291|GSCNP-10-215-01|GSCNP-10-215-01|ACS|American Cancer Society|y
40053|103296|GSCNP-11-238-01|GSCNP-11-238-01|ACS|American Cancer Society|y
41014|104959|DSCN-09-140-01|DSCN-09-140-01|ACS|American Cancer Society|y
41029|104974|DSCNR-06-206-03|DSCNR-06-206-03|ACS|American Cancer Society|y
41032|104977|DSCNR-15-081-03|DSCNR-15-081-03|ACS|American Cancer Society|y
41037|104982|DSW-06-224-01|DSW-06-224-01|ACS|American Cancer Society|y
41045|104990|DSW-11-200-01|DSW-11-200-01|ACS|American Cancer Society|y
42112|106195|DSCN-04-163-01|DSCN-04-163-01|ACS|American Cancer Society|y
42117|106200|DSCN-05-185-01|DSCN-05-185-01|ACS|American Cancer Society|y
42119|106202|DSCN-06-204-01|DSCN-06-204-01|ACS|American Cancer Society|y
42124|106207|DSCN-07-135-01|DSCN-07-135-01|ACS|American Cancer Society|y
42714|106975|CCCDA-11-192-01|CCCDA-11-192-01|ACS|American Cancer Society|y
43356|107651|MRSG-07-165-01|MRSG-07-165-01|ACS|American Cancer Society|y
43381|107676|MRSG-15-194-01|MRSG-15-194-01|ACS|American Cancer Society|y
43393|107688|MSCN-05-190-01|MSCN-05-190-01|ACS|American Cancer Society|y
43397|107692|MSCN-07-245-01|MSCN-07-245-01|ACS|American Cancer Society|y
43406|107701|MSW-02-204-03|MSW-02-204-03|ACS|American Cancer Society|y
43408|107703|MSW-03-216-02|MSW-03-216-02|ACS|American Cancer Society|y
43409|107704|MSW-03-216-03|MSW-03-216-03|ACS|American Cancer Society|y
43410|107705|MSW-03-216-05|MSW-03-216-05|ACS|American Cancer Society|y
43415|107710|MSW-07-139-01|MSW-07-139-01|ACS|American Cancer Society|y
43417|107712|MSW-08-214-02|MSW-08-214-02|ACS|American Cancer Society|y
43426|107721|MSW-96-161-09|MSW-96-161-09|ACS|American Cancer Society|y
44002|108885|GSCNP-12-241-01|GSCNP-12-241-01|ACS|American Cancer Society|y
44452|109352|MRSG-14-157-01|MRSG-14-157-01|ACS|American Cancer Society|y
44471|109371|MSCN-06-231-01|MSCN-06-231-01|ACS|American Cancer Society|y
44489|109389|MSW-03-216-01|MSW-03-216-01|ACS|American Cancer Society|y
44490|109390|MSW-03-216-06|MSW-03-216-06|ACS|American Cancer Society|y
44495|109395|MSW-05-178-05|MSW-05-178-05|ACS|American Cancer Society|y
44500|109400|MSW-10-102-02|MSW-10-102-02|ACS|American Cancer Society|y
44506|109406|MSW-98-308-05|MSW-98-308-05|ACS|American Cancer Society|y
44507|109407|MSW-98-308-07|MSW-98-308-07|ACS|American Cancer Society|y
